Value,Quarter,Year,Age,Gender,Started,Profession,Grade,Company,City,Skill,Industry,SourceType,Created
800000,2,2025,24,Male,2021,Product Manager,Middle,Local,Almaty,,Банк,,2025-06-16 10:10:57
1000000,2,2025,22,PreferNotToSay,2023,Backend Developer,Middle,Local,Astana,Python,IT продукт,,2025-06-16 09:12:26
600000,2,2025,22,Male,2024,Системный аналитик | System Analyst,Middle,Local,Almaty,PHP,IT продукт,,2025-06-15 11:07:23
1200000,2,2025,25,PreferNotToSay,2022,Backend Developer,Middle,Foreign,Almaty,Python,Другое | Other,,2025-06-15 09:55:25
800000,2,2025,29,Male,2022,Frontend Developer,Middle,Local,Kokshetau,React,Банк,,2025-06-15 09:18:19
2000000,2,2025,36,Female,2013,Frontend Developer,Senior,Local,Almaty,Typescript,Финтех,,2025-06-15 08:17:44
184000,2,2025,22,Male,2024,Flutter developer,Junior,Local,Kokshetau,Flutter,Образование (Education),,2025-06-14 15:49:10
1500000,2,2025,20,Male,2023,Backend Developer,Middle,Foreign,Astana,Golang,E-Commerce,,2025-06-14 09:55:14
1100000,2,2025,34,Male,2024,Системный аналитик | System Analyst,Middle,Local,Astana,,Финтех,,2025-06-14 06:09:16
3331000,2,2025,27,Male,2023,Data Scientist,Senior,Foreign,Almaty,Python,Стартап,,2025-06-13 10:48:32
1300000,2,2025,35,Male,2020,Customer Support,Lead,Foreign,Almaty,,IT продукт,,2025-06-13 08:37:38
1300000,2,2025,30,Male,2017,Backend Developer,Middle,Local,Almaty,Laravel,Продажи и маркетинг,,2025-06-13 05:07:28
735000,2,2025,38,Male,2023,Тестировщик (Tester),Middle,Local,Almaty,Другое,Финтех,,2025-06-12 16:12:24
1370000,2,2025,34,Female,2020,Business Analyst (BA),Middle,Local,Almaty,,Телеком,,2025-06-12 12:21:48
1500000,2,2025,25,Male,2022,Data Scientist,Middle,Foreign,Almaty,Python,Финтех,,2025-06-12 11:53:44
500000,2,2025,41,Male,2023,Frontend Developer,Middle,Local,Almaty,React,IT продукт,,2025-06-12 10:56:33
1000000,1,2025,35,Female,2010,Исследователь UX/CX,Senior,Local,Almaty,Другое,Финтех,,2025-06-12 10:21:39
1700000,2,2025,37,Male,2008,Frontend Developer,Senior,Local,Almaty,Node.js,Стартап,,2025-06-12 06:18:32
2000000,2,2025,27,Male,2019,Backend Developer,Senior,Foreign,Almaty,Golang,E-Commerce,,2025-06-12 00:31:45
850000,2,2025,25,Male,2024,Quality Assurance (QA),Middle,Local,Almaty,Java,Финтех,,2025-06-11 13:46:27
1000000,2,2025,24,Male,2022,Quality Assurance (QA),Middle,Foreign,Almaty,Java,Финтех,,2025-06-11 11:36:13
1200000,2,2025,25,Male,2020,Product Manager,Lead,Local,Almaty,,IT продукт,,2025-06-11 11:33:11
1000000,2,2025,22,Male,2021,Backend Developer,Middle,Local,Astana,Java,Государственное учреждение (Government),,2025-06-11 11:00:35
600000,2,2025,20,Male,2024,Frontend Developer,Junior,Local,Almaty,Vue,Финтех,,2025-06-11 06:59:06
550000,2,2025,20,Male,2024,IT HR,Middle,Local,Almaty,,IT продукт,,2025-06-11 05:53:54
2000000,2,2025,30,Female,2017,CVM аналитик,Lead,Local,Almaty,Python,Финтех,,2025-06-11 05:52:30
1000000,2,2025,26,Male,2021,Frontend Developer,Middle,Local,Astana,Vue,IT аутсорс/аутстафф,,2025-06-11 05:37:47
1800000,2,2025,42,Male,2018,Frontend Developer,Senior,Local,Almaty,React,IT продукт,,2025-06-11 01:34:27
800000,2,2025,24,Female,2022,Frontend Developer,Middle,Local,Almaty,Javascript,Финтех,,2025-06-10 15:25:01
1200000,2,2025,24,Male,2021,iOS Developer,Senior,Local,Astana,Swift,Банк,,2025-06-10 12:30:40
1700000,2,2025,26,Male,2020,Frontend Developer,Senior,Foreign,Aktau,Angular,IT продукт,,2025-06-10 10:31:07
1200000,2,2025,32,Male,2019,Backend Developer,Senior,Local,Almaty,Java,Торговля (FMCG, Retail),,2025-06-10 09:50:30
500000,2,2025,22,Male,2024,Дата аналитик | Data Analyst,Junior,Local,Almaty,Python,Образование (Education),,2025-06-10 08:18:56
1000000,2,2025,36,Male,2021,Backend Developer,Senior,Local,Almaty,.NET,Торговля (FMCG, Retail),,2025-06-10 08:15:15
700000,1,2025,20,Male,2022,Frontend Developer,Middle,Local,Almaty,Angular,Финтех,,2025-06-10 07:40:53
1000000,2,2025,26,Female,2021,Project Manager,Middle,Local,Almaty,,Образование (Education),,2025-06-10 06:53:58
450000,2,2025,25,Male,2021,IT HR,Middle,Foreign,Almaty,,Телеком,,2025-06-10 05:20:03
950000,2,2025,27,Female,2023,Business Analyst (BA),Middle,Local,Almaty,,Телеком,,2025-06-09 08:10:37
645000,2,2025,24,Female,2023,UI/UX Designer,Middle,Local,Almaty,,Банк,,2025-06-09 07:06:10
900000,2,2025,24,Male,2022,Flutter developer,Middle,Local,Almaty,Flutter,IT продукт,,2025-06-09 06:59:57
1000000,3,2025,28,Male,2021,Системный аналитик | System Analyst,Lead,Local,Astana,.NET,Промышленность,,2025-06-06 13:15:32
800000,2,2025,28,Male,2021,Системный аналитик | System Analyst,Middle,Local,Astana,.NET,Промышленность,,2025-06-06 13:11:49
1100000,2,2025,28,Male,2022,Backend Developer,Middle,Local,Almaty,Python,HR системы,,2025-06-06 05:28:51
600000,4,2024,21,PreferNotToSay,2023,Backend Developer,Junior,Local,Almaty,Java,IT продукт,,2025-06-05 21:56:50
700000,2,2025,21,PreferNotToSay,2023,Backend Developer,Junior,Local,Almaty,Java,Финтех,,2025-06-05 21:45:57
800000,2,2025,21,Male,2023,Frontend Developer,Middle,Local,Almaty,Angular,Образование (Education),,2025-06-05 19:48:58
1500000,1,2025,32,Male,2013,Head Of Department,Lead,Local,Astana,Другое,Образование (Education),,2025-06-05 10:08:02
600000,2,2025,44,Female,2005,Frontend Developer,Middle,Local,Almaty,React,Финтех,,2025-06-05 09:00:27
400000,2,2025,23,Male,2023,Frontend Developer,Junior,Local,Almaty,Vue,Государственное учреждение (Government),,2025-06-05 04:10:57
4000000,2,2025,29,Male,2018,Product Manager,Lead,Foreign,Almaty,,IT продукт,,2025-06-04 08:37:21
2000000,2,2025,25,Male,2019,Backend Developer,Senior,Local,Almaty,PHP,Продажи и маркетинг,,2025-06-04 06:42:35
2750000,2,2025,27,Male,2020,Flutter developer,Senior,Foreign,Almaty,Flutter,Телеком,,2025-06-04 06:24:36
650000,2,2025,20,Female,2024,Backend Developer,Junior,Local,Almaty,Java,Финтех,,2025-06-04 06:17:38
600000,2,2025,21,Male,2022,Backend Developer,Middle,Local,Astana,Golang,IT продукт,,2025-06-04 06:17:26
400000,2,2025,23,Male,2025,Backend Developer,Junior,Local,Astana,Golang,IT продукт,,2025-06-04 06:12:07
900000,2,2025,33,Male,2017,Product Manager,Middle,Local,Astana,Java,IT продукт,,2025-06-04 06:05:44
500000,2,2025,27,Male,2022,Маркетинговый аналитик,Middle,Local,Astana,,Торговля (FMCG, Retail),,2025-06-04 06:05:23
800000,2,2025,21,PreferNotToSay,2024,Backend Developer,Middle,Local,Almaty,Laravel,IT аутсорс/аутстафф,,2025-06-03 20:04:41
1370000,2,2025,27,Male,2018,Frontend Developer,Senior,Local,Almaty,React,Банк,,2025-06-03 15:17:23
2000000,2,2025,22,Male,2020,Backend Developer,Senior,Local,Almaty,Java,Банк,,2025-06-03 12:00:21
500000,2,2025,21,Male,2024,Flutter developer,Junior,Local,Astana,Flutter,IT продукт,,2025-06-03 11:05:30
1400000,2,2025,25,Male,2019,Backend Developer,Senior,Local,Almaty,Java,Стартап,,2025-06-03 10:07:46
700000,2,2025,22,Male,2023,Mobile Developer,Middle,Local,Almaty,Flutter,E-Commerce,,2025-06-03 10:00:12
1700000,2,2025,30,Male,2020,Flutter developer,Senior,Foreign,Astana,Flutter,Финтех,,2025-06-03 09:58:14
2500000,2,2025,39,Male,2010,Архитектор (Architect),Lead,Foreign,Astana,Java,Государственное учреждение (Government),,2025-06-03 09:48:49
1200000,2,2025,24,Female,2022,Android Developer,Middle,Local,Almaty,Kotlin,IT продукт,,2025-06-03 09:21:25
900000,2,2025,31,Male,2018,DevOps,Lead,Local,Astana,Другое,IT продукт,,2025-06-02 18:35:08
1000000,1,2025,28,Female,2019,Frontend Developer,Lead,Local,Almaty,Javascript,Финтех,,2025-06-02 11:13:16
750000,2,2025,29,Male,2022,Дата инженер | Data Engineer,Middle,Local,Astana,Python,Телеком,,2025-06-02 08:44:26
800000,2,2025,20,Male,2023,Frontend Developer,Middle,Local,Almaty,Vue,Финтех,,2025-06-01 08:26:12
1200000,2,2025,18,Male,2020,Backend Developer,Middle,Local,Almaty,Node.js,IT аутсорс/аутстафф,,2025-05-31 19:23:48
75000,2,2025,20,Male,2025,Pentester,Junior,Local,Aktau,C/C++,HR системы,,2025-05-31 14:12:27
1300000,2,2025,27,Female,2021,Quality Assurance (QA),Middle,Foreign,Almaty,Golang,E-Commerce,,2025-05-31 06:03:29
1200000,2,2025,27,Male,2020,Backend Developer,Middle,Local,Karaganda,PHP,Финтех,,2025-05-31 03:04:53
2000000,2,2025,24,Male,2019,Backend Developer,Senior,Foreign,Almaty,Typescript,Другое | Other,,2025-05-30 18:53:59
1110000,2,2025,45,Male,2017,Business Analyst (BA),Middle,Local,Almaty,Python,Телеком,,2025-05-30 16:48:34
2000000,2,2025,41,Male,2013,DevOps,Middle,Foreign,Almaty,Data Warehouse | DWH,Финтех,,2025-05-30 16:33:03
1000000,2,2025,29,Male,2023,Quality Assurance (QA),Middle,Local,Almaty,Java,Финтех,,2025-05-29 12:49:51
2100000,2,2025,30,Male,2013,Тимлид | Teamleader,Lead,Foreign,Almaty,Python,HR системы,,2025-05-28 19:43:27
260000,2,2025,20,Male,2024,Backend Developer,Junior,Local,Almaty,Javascript,Государственное учреждение (Government),,2025-05-28 11:49:19
800000,2,2025,27,Male,2021,Fullstack Developer,Middle,Local,Astana,Java,Финтех,,2025-05-28 11:33:34
1500000,2,2025,30,Male,2020,Product Manager,Senior,Local,Astana,Другое,Другое | Other,,2025-05-28 10:24:30
1300000,4,2024,38,Male,2008,Backend Developer,Middle,Local,Almaty,Java,Банк,,2025-05-28 10:14:23
700000,2,2025,29,Male,2022,Frontend Developer,Middle,Local,Astana,React,IT продукт,,2025-05-28 09:09:45
1200000,2,2025,26,Male,2019,Backend Developer,Middle,Local,Astana,Golang,IT продукт,,2025-05-28 09:04:10
650000,2,2025,38,Male,2021,Автоматизатор (Automation tests),Middle,Foreign,Karaganda,.NET,IT аутсорс/аутстафф,,2025-05-28 09:04:03
1200000,2,2025,21,Male,2023,Системный аналитик | System Analyst,Middle,Local,Astana,BI,Финтех,,2025-05-28 08:28:06
480000,2,2025,25,Male,2022,Product Analyst,Junior,Local,Astana,Дата аналитика | Data Analysis,IT продукт,,2025-05-28 06:39:52
500000,2,2025,25,Male,2020,Technical Support,Middle,Local,Almaty,Другое,Финтех,,2025-05-28 06:23:37
2500000,1,2025,32,Male,2016,Chief Product Officer (CPO),Lead,Local,Almaty,,Финтех,,2025-05-28 06:08:03
425000,2,2025,24,Female,2023,Системный аналитик | System Analyst,Middle,Local,Astana,Kotlin,IT продукт,,2025-05-27 08:52:35
425000,2,2025,24,Female,2023,Системный аналитик | System Analyst,Middle,Local,Astana,Kotlin,IT продукт,,2025-05-27 08:52:35
1017500,2,2025,25,Male,2022,Frontend Developer,Middle,Foreign,,React,IT аутсорс/аутстафф,,2025-05-25 05:58:07
1500000,2,2024,33,Male,2016,Frontend Developer,Senior,Foreign,Almaty,,Финтех,,2025-05-24 05:09:37
600000,2,2025,28,Male,2017,Backend Developer,Middle,Local,Aktau,Laravel,Образование (Education),,2025-05-23 08:38:15
700000,2,2025,24,Male,2020,Системный аналитик | System Analyst,Middle,Local,Almaty,Golang,Банк,,2025-05-23 07:10:02
1327000,2,2025,24,Male,2021,Frontend Developer,Senior,Local,Astana,React,Строительная компания,,2025-05-23 06:36:07
2000000,4,2025,25,Male,2020,Backend Developer,Senior,Foreign,Almaty,Java,Финтех,,2025-05-22 08:50:59
2550000,2,2025,24,Male,2017,Frontend Developer,Senior,Foreign,Almaty,React,Торговля (FMCG, Retail),,2025-05-22 05:28:48
5400000,1,2025,34,Male,2014,Системный аналитик | System Analyst,Senior,Local,Almaty,,Финтех,,2025-05-22 04:22:08
1000000,2,2025,27,Female,2021,Quality Assurance (QA),Middle,Local,Almaty,,IT продукт,,2025-05-21 10:23:13
650000,1,2024,37,Female,2009,Дата аналитик | Data Analyst,Middle,Local,Almaty,,Продажи и маркетинг,,2025-05-21 10:17:57
800000,1,2025,28,Male,2018,Frontend Developer,Senior,Local,Astana,Angular,IT продукт,,2025-05-21 09:29:14
400000,2,2025,21,Male,2024,Backend Developer,Junior,Local,Almaty,Spring,IT продукт,,2025-05-21 06:33:21
1045455,4,2024,32,Male,2020,Backend Developer,Middle,Foreign,,Java,Банк,,2025-05-21 04:47:02
300000,2,2025,18,Male,2025,Frontend Developer,Junior,Local,Astana,React,Продажи и маркетинг,,2025-05-20 19:48:59
1000000,2,2025,24,Female,2022,UI/UX Designer,Middle,Local,Almaty,,Финтех,,2025-05-20 14:25:35
850000,2,2025,23,Female,,Frontend Developer,Middle,Local,Astana,React,Образование (Education),,2025-05-20 12:23:16
200000,2,2025,22,Male,2022,Frontend Developer,Middle,Local,Oral,Vue,Web-студия,,2025-05-20 11:55:47
1400000,2,2025,23,Male,2021,Product Analyst,Middle,Local,Astana,Python,E-Commerce,,2025-05-19 17:09:28
910000,2,2025,27,Male,2018,Backend Developer,Middle,Local,Astana,PHP,IT продукт,,2025-05-19 06:55:27
950000,2,2025,25,Male,2022,Android Developer,Middle,Local,Astana,Android,E-Commerce,,2025-05-19 06:19:35
600000,2,2025,27,Male,2025,Quality Assurance (QA),Middle,Local,Almaty,,IT продукт,,2025-05-19 06:19:34
350000,1,2025,24,Male,2024,Frontend Developer,Junior,Local,Almaty,React,IT аутсорс/аутстафф,,2025-05-18 21:08:46
1000000,2,2025,24,Male,2021,Backend Developer,Middle,Local,Almaty,Golang,Банк,,2025-05-18 15:51:31
900000,2,2025,22,Male,2023,Backend Developer,Middle,Local,Astana,Spring,IT аутсорс/аутстафф,,2025-05-18 14:35:50
878775,2,2025,21,Male,2023,Frontend Developer,Middle,Local,Almaty,Angular,Финтех,,2025-05-18 11:15:21
470000,2,2025,24,Male,2024,System Administrator,Middle,Local,Astana,Другое,Банк,,2025-05-18 07:47:34
1300000,1,2025,31,Male,2020,Android Developer,Middle,Local,Almaty,Android,Банк,,2025-05-18 00:44:43
1150000,2,2025,25,Male,2022,Backend Developer,Middle,Local,Almaty,Python,Банк,,2025-05-17 21:09:04
1200000,2,2025,31,Male,2019,Тимлид | Teamleader,Middle,Local,Almaty,Laravel,Торговля (FMCG, Retail),,2025-05-17 06:32:06
1300000,2,2025,25,Male,2020,Backend Developer,Middle,Local,Almaty,Golang,Финтех,,2025-05-17 05:34:54
400000,2,2025,21,Male,2024,Backend Developer,Junior,Local,Almaty,Golang,Финтех,,2025-05-16 18:43:13
780000,2,2025,20,Male,2021,Frontend Developer,Middle,Local,Almaty,React,Банк,,2025-05-16 17:52:30
850000,2,2024,26,Male,2020,Backend Developer,Middle,Local,Almaty,.NET,Финтех,,2025-05-16 16:49:56
2400000,2,2025,27,Male,2023,Backend Developer,Middle,Foreign,Almaty,Golang,Продажи и маркетинг,,2025-05-16 16:20:40
1150000,2,2025,24,PreferNotToSay,2021,Backend Developer,Senior,Local,Almaty,Node.js,Финтех,,2025-05-16 15:26:05
1200000,2,2025,24,Male,2021,Тимлид | Teamleader,Lead,Local,Almaty,Golang,Финтех,,2025-05-16 14:09:20
3500000,2,2025,37,Male,2010,Backend Developer,Senior,Foreign,Astana,PHP,Финтех,,2025-05-16 13:52:11
700000,2,2025,22,Male,2023,Frontend Developer,Middle,Local,Almaty,Vue,IT продукт,,2025-05-16 13:37:23
1100000,2,2025,29,Male,2017,Product Manager,Middle,Local,Almaty,,Финтех,,2025-05-16 12:42:10
1000000,2,2025,25,Male,2022,Backend Developer,Middle,Local,Almaty,Golang,Продажи и маркетинг,,2025-05-16 12:25:01
1500000,2,2025,39,Male,2008,Тимлид | Teamleader,Lead,Local,Almaty,Другое,Банк,,2025-05-16 07:03:58
1000000,2,2025,24,Male,2018,Mobile Developer,Middle,Local,Astana,React Native,IT продукт,,2025-05-14 07:29:24
600000,2,2025,20,Female,2023,Системный аналитик | System Analyst,Senior,Local,Astana,Java,IT продукт,,2025-05-14 06:29:25
900000,1,2025,27,Male,2019,Quality Assurance (QA),Middle,Local,Almaty,Laravel,Телеком,,2025-05-13 12:00:39
300000,2,2025,22,Male,2025,Информационная безопасность,Junior,Local,Almaty,,Digital агентство,,2025-05-13 09:05:03
2500000,2,2025,26,Male,2019,iOS Developer,Senior,Local,Almaty,Swift,Финтех,,2025-05-12 16:26:44
500000,2,2025,22,Male,2023,Frontend Developer,Middle,Local,Almaty,Vue,Другое | Other,,2025-05-12 11:45:21
700000,2,2025,23,Male,2023,Backend Developer,Middle,Local,Astana,Golang,IT продукт,,2025-05-12 10:21:22
700000,2,2025,22,Male,2020,Backend Developer,Middle,Local,Almaty,PHP,IT продукт,,2025-05-12 10:05:51
1360000,2,2025,34,Male,2014,Backend Developer,Senior,Local,Almaty,Golang,Телеком,,2025-05-12 09:03:56
925000,2,2025,31,Female,2022,Backend Developer,Senior,Local,Almaty,Golang,Банк,,2025-05-12 08:33:30
700000,1,2025,21,Male,2019,Backend Developer,Senior,Local,Almaty,Python,IT продукт,,2025-05-12 06:30:02
870000,2,2025,22,Male,2021,Android Developer,Middle,Local,Almaty,Android,Банк,,2025-05-12 06:14:48
650000,2,2025,26,Male,2021,Системный аналитик | System Analyst,Middle,Local,Almaty,Дата аналитика | Data Analysis,Финтех,,2025-05-12 06:14:04
350000,1,2025,22,Male,2024,Frontend Developer,Junior,Local,Almaty,React,IT продукт,,2025-05-11 22:56:11
315000,2,2025,22,Female,2024,Автоматизатор (Automation tests),Junior,Local,Astana,Java,IT аутсорс/аутстафф,,2025-05-11 17:34:41
2350000,2,2025,29,Male,2019,Frontend Developer,Senior,Foreign,Astana,Vue,IT продукт,,2025-05-11 15:13:12
460000,2,2025,23,Male,2023,Backend Developer,Junior,Local,Almaty,Java,E-Commerce,,2025-05-11 12:23:55
500000,2,2025,23,Male,2023,Fullstack Developer,Junior,Local,Astana,Javascript,Стартап,,2025-05-10 06:33:43
1758332,2,2025,41,Male,2023,Project Manager,Senior,Local,Almaty,,Банк,,2025-05-07 09:48:14
1500000,2,2025,41,Female,2005,Project Manager,Lead,Local,Almaty,,Финтех,,2025-05-07 06:07:41
700000,2,2025,28,Male,2018,Frontend Developer,Middle,Local,Astana,Angular,Промышленность,,2025-05-06 11:06:01
1400000,2,2025,27,Male,2021,iOS Developer,Middle,Local,Almaty,Swift,Финтех,,2025-05-06 10:39:27
800000,2,2025,28,Male,2019,Системный аналитик | System Analyst,Middle,Local,Astana,.NET,Промышленность,,2025-05-05 11:54:48
2200000,2,2025,36,Male,2010,Chief Technical Officer (CTO),Lead,Local,Almaty,PHP,Стартап,,2025-05-05 07:04:45
1200000,2,2025,53,Male,2004,Backend Developer,Lead,Local,Astana,.NET,IT продукт,,2025-05-05 04:19:03
500000,2,2025,24,Male,2020,DevOps,Middle,Local,Astana,,IT аутсорс/аутстафф,,2025-05-01 18:43:40
530000,2,2025,23,Male,2024,Flutter developer,Junior,Foreign,Atyrau,Flutter,IT аутсорс/аутстафф,,2025-05-01 14:15:08
1600000,1,2025,30,Male,2020,Frontend Developer,Senior,Local,Almaty,Vue,Финтех,,2025-04-30 15:20:49
700000,2,2025,26,Male,2022,Backend Developer,Middle,Local,Almaty,.NET,Страхование (Insurance),,2025-04-30 12:49:25
450000,2,2025,23,Male,2023,Fullstack Developer,Junior,Local,Almaty,PHP,Образование (Education),,2025-04-30 08:55:50
1300000,2,2025,24,Male,2020,Backend Developer,Middle,Foreign,Karaganda,Kotlin,Банк,,2025-04-30 07:15:09
1500000,2,2025,27,Male,2018,Backend Developer,Senior,Local,Almaty,Java,IT аутсорс/аутстафф,,2025-04-30 06:21:02
2600000,2,2025,30,Male,2015,DevOps,Middle,Foreign,Almaty,Другое,IT продукт,,2025-04-30 06:07:42
820000,2,2025,25,Male,2021,DevOps,Middle,Local,Almaty,Python,Телеком,,2025-04-30 05:24:24
1500000,2,2025,31,Male,2019,DevOps,Middle,Foreign,Astana,,GameDev (Game development),,2025-04-30 05:06:28
2600000,2,2025,32,Female,2014,DevOps,Senior,Local,Astana,,IT продукт,,2025-04-30 04:52:56
550000,2,2025,25,Male,2024,Backend Developer,Middle,Local,Astana,Python,E-Commerce,,2025-04-29 10:58:24
1200000,2,2025,25,Male,2021,Backend Developer,Middle,Local,Almaty,Java,Телеком,,2025-04-29 09:31:27
900000,2,2025,25,Male,2023,Quality Assurance (QA),Lead,Local,Almaty,Python,Финтех,,2025-04-28 06:49:14
350000,2,2025,20,Male,2023,Backend Developer,Junior,Local,Almaty,Python,Продажи и маркетинг,,2025-04-27 07:10:12
680000,2,2025,23,Male,2023,Computer vision engineer,Middle,Local,Astana,Python,Промышленность,,2025-04-25 16:11:12
500000,2,2025,30,Female,2019,Talent Acquisition,Middle,Local,Almaty,,СМИ (Средства массовой информации),,2025-04-23 13:54:21
1200000,2,2025,23,Male,2018,Backend Developer,Lead,Local,Astana,.NET,IT продукт,,2025-04-23 10:01:04
1000000,2,2025,28,PreferNotToSay,2020,Backend Developer,Senior,Local,Almaty,PHP,Другое | Other,,2025-04-22 15:27:15
85000,2,2025,21,PreferNotToSay,2021,Backend Developer,Middle,Local,Almaty,Python,Банк,,2025-04-22 07:24:34
1500000,2,2025,25,Female,2020,Frontend Developer,Senior,Local,Almaty,React,IT продукт,,2025-04-18 09:47:58
600000,1,2025,31,Male,2024,Android Developer,Junior,Local,Almaty,Android,Банк,,2025-04-18 07:14:41
450000,2,2025,21,Male,2024,Backend Developer,Junior,Local,Almaty,Spring,Финтех,,2025-04-18 03:54:44
1000000,2,2025,20,Male,2022,Quality Assurance (QA),Lead,Local,Astana,Java,Saas Компания (Услуги SaaS),,2025-04-17 09:57:28
570000,2,2025,32,Female,2024,Quality Assurance (QA),Junior,Local,Almaty,Java,Финтех,,2025-04-17 09:56:28
180000,2,2025,24,Male,2024,Quality Assurance (QA),Junior,Local,Astana,,Другое | Other,,2025-04-17 07:35:49
800000,2,2025,39,Female,2011,IT HR,Lead,Local,Astana,,Образование (Education),,2025-04-17 04:32:22
300000,2,2025,22,Male,2024,Android Developer,Junior,Local,Almaty,Kotlin,IT аутсорс/аутстафф,,2025-04-16 13:55:05
2200000,2,2025,22,Male,2021,Frontend Developer,Senior,Local,Almaty,React,Финтех,,2025-04-16 05:40:58
500000,2,2025,19,Male,2024,Frontend Developer,Junior,Local,Karaganda,React,Digital агентство,,2025-04-16 05:31:39
350000,2,2025,21,Male,2024,Backend Developer,Junior,Local,Almaty,Python,IT аутсорс/аутстафф,,2025-04-14 17:47:20
1000000,2,2025,32,Male,2016,Head Of Department,Lead,Local,Almaty,PHP,Образование (Education),,2025-04-14 16:20:23
350000,2,2025,26,Male,2018,Customer Support,Junior,Local,Almaty,Другое,IT аутсорс/аутстафф,,2025-04-14 12:19:11
400000,1,2025,27,Male,2022,Business Analyst (BA),Middle,Local,Astana,BI,IT продукт,,2025-04-14 07:41:07
742500,2,2025,30,Male,2016,Fullstack Developer,Middle,Local,Astana,.NET,Банк,,2025-04-14 05:32:08
1100000,2,2025,21,Male,2023,Backend Developer,Middle,Local,Almaty,FastAPI,Банк,,2025-04-12 14:54:30
450000,2,2025,21,Male,2023,Backend Developer,Junior,Local,Almaty,Python,IT продукт,,2025-04-12 14:15:24
550000,1,2025,33,Male,2023,Frontend Developer,Middle,Local,Almaty,PHP,IT продукт,,2025-04-11 10:00:27
320000,2,2025,33,Male,2023,Frontend Developer,Junior,Local,Astana,React,IT продукт,,2025-04-11 06:16:13
1000000,2,2025,33,Male,2016,Quality Assurance (QA),Senior,Local,Almaty,Swift,Банк,,2025-04-11 05:53:43
466000,1,2025,23,Male,2023,Frontend Developer,Junior,Local,Astana,React,IT продукт,,2025-04-11 05:33:25
576000,2,2025,31,Male,2023,Frontend Developer,Junior,Foreign,Almaty,Vue,IT аутсорс/аутстафф,,2025-04-11 01:46:29
700000,2,2025,22,Male,2023,Backend Developer,Middle,Local,Almaty,Java,Логистика,,2025-04-10 14:28:46
250000,2,2025,22,Male,2025,Business Analyst (BA),Junior,Local,Astana,,IT продукт,,2025-04-10 09:42:12
2400000,2,2025,25,Female,2021,Frontend Developer,Senior,Local,Almaty,Angular,Банк,,2025-04-10 08:04:32
350000,1,2025,21,Male,2024,Backend Developer,Junior,Local,Almaty,PHP,Другое | Other,,2025-04-10 07:14:27
300000,2,2025,24,Female,2025,Product Manager,Junior,Local,Astana,,Другое | Other,,2025-04-10 06:28:42
1043000,2,2025,21,Male,2023,Backend Developer,Middle,Local,Almaty,Golang,Банк,,2025-04-10 04:36:06
2334000,2,2025,26,Male,2018,Backend Developer,Middle,Foreign,Almaty,Golang,E-Commerce,,2025-04-09 16:47:52
1000000,2,2025,23,Male,2022,Quality Assurance (QA),Senior,Local,Almaty,,Финтех,,2025-04-09 13:00:25
1100000,1,2025,24,Male,2021,Backend Developer,Middle,Local,Almaty,Django,IT продукт,,2025-04-09 11:30:54
600000,2,2025,27,Male,2025,Quality Assurance (QA),Middle,Local,Almaty,,IT продукт,,2025-04-09 11:29:54
500000,2,2025,20,Female,2024,Backend Developer,Junior,Local,Almaty,Golang,Банк,,2025-04-09 10:44:25
4000000,2,2025,29,Male,2019,Chief Technical Officer (CTO),Lead,Local,Almaty,Golang,Стартап,,2025-04-09 10:26:07
600000,2,2025,20,Male,2022,Fullstack Developer,Middle,Local,Almaty,Typescript,IT аутсорс/аутстафф,,2025-04-09 10:18:37
800000,2,2025,24,Male,2024,Backend Developer,Middle,Local,Astana,Golang,Телеком,,2025-04-09 10:14:06
1500000,2,2025,31,PreferNotToSay,2016,Тимлид | Teamleader,Lead,Local,Almaty,Дата аналитика | Data Analysis,Продажи и маркетинг,,2025-04-09 09:49:20
700000,2,2025,22,Male,2023,Дата инженер | Data Engineer,Middle,Local,Almaty,Python,IT продукт,,2025-04-09 09:47:14
700000,2,2025,29,Male,2022,Backend Developer,Middle,Local,Almaty,PHP,Финтех,,2025-04-09 09:45:09
2100000,2,2025,29,Male,2017,Pentester,Middle,Foreign,Almaty,Другое,IT аутсорс/аутстафф,,2025-04-09 09:43:51
700000,2,2025,22,Male,2023,Backend Developer,Middle,Local,Almaty,Golang,Финтех,,2025-04-09 09:43:42
300000,2,2025,19,Female,2024,Backend Developer,Junior,Local,Astana,Golang,Стартап,,2025-04-09 09:43:12
630000,2,2025,23,Female,2023,Quality Assurance (QA),Middle,Local,Astana,,Стартап,,2025-04-09 09:35:22
250000,2,2025,21,Male,2023,Backend Developer,Junior,Local,Astana,Python,Другое | Other,,2025-04-09 09:23:38
1100000,2,2025,34,Female,2007,Project Manager,Lead,Local,Astana,,Другое | Other,,2025-04-09 09:16:19
1000000,2,2025,23,Male,2020,Product Manager,Middle,Local,Almaty,,IT продукт,,2025-04-09 09:09:33
1000000,2,2024,25,Male,2021,Тимлид | Teamleader,Lead,Local,Almaty,Java,Финтех,,2025-04-09 09:06:29
380000,1,2025,26,Female,2024,Quality Assurance (QA),Junior,Foreign,Almaty,,Другое | Other,,2025-04-09 09:05:49
1100000,2,2025,28,Male,2018,Backend Developer,Senior,Local,Astana,Laravel,E-Commerce,,2025-04-09 09:02:49
